# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment
r,hmu,Standby,,,,B503,020003,,,HEX:6,,,,,,,,,,,,,,,,,,,,,
# START Unbekannte Nachrichten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,hmu,UnbekannteAbfrage60sB507h,,,08,B507,0900,,,HEX:*,,,Unbekannte Abfrage all 60 Sekunden vom Sensocomfort an ArothermPlus,,,,,,,,,,,,,,,,,,
r,,IstwertUnterkuehlung,,,,,5A03FFFF,,,temps2,10,K,IstwertUnterkuehlung(K),,,,,,,,,,,,,,,,,,
r,,KompressorDrehzahl,,,,,5D03FFFF,,,UIN,10,rps,Kompressordrehzal (UPM),,,,,,,,,,,,,,,,,,
r,,xUnbekannt60,,,,,6003FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnbekannt62,,,,,6203FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnbekannt66,,,,,6603FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnbekannt67,,,,,6703FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnbekannt68,,,,,6803FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnbekannt69,,,,,6903FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,xUnbekannt6A,,,,,6A03FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,Multifunktionsausgang1_X13,,,,,7703FFFF,,,onoff,,,Multifunktionsausgang1: Zone valve; Kuehlung signal; intermediate heat exchanger pump,,,,,,,,,,,,,,,,,,
r,,TemperaturschalterKompressorAuslass,,,,,7B03FFFF,,,UCH,0=open;1=closed,,,,,,,,,,,,,,,,,,,,
r,,TemperaturSchalterHeizstab,,,,,7C03FFFF,,,UCH,0=open;1=closed,,,,,,,,,,,,,,,,,,,,
r,,MA_Eingang,,,,,7D03FFFF,,,onoff,,,Multifunktion Eingang 1 (ME or X41 terminals): Manual circulation Schalter-on; PV Ready Signal; Kuehlung Modus,,,,,,,,,,,,,,,,,,
r,,MA2_Ausgang,,,,,7E03FFFF,,,onoff,,,Multifunktion Ausgang 2: Umwaelzpumpe; Antilegionellenpumpe; Zonenventil; Luftentfeuchter,,,,,,,,,,,,,,,,,,
r,,MA_Ausgang,,,,,7F03FFFF,,,onoff,,,Multifunktion Ausgang 0,,,,,,,,,,,,,,,,,,
r,,xUnbekannt80,,,,,8003FFFF,,,HEX:*,,,,,,,,,,,,,,,,,,,,,
r,,VerfluessigerEingangstemperatur,,,,,8103FFFF,,,temps2,10,°C,VerfluessigerEingangstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,VorlauftemperaturHeizstab,,,,,8203FFFF,,,temps2,10,°C,VorlaufTemperatur Heizstab (°C),,,,,,,,,,,,,,,,,,
# Ertrag und Verbrauch ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,B516,18,,,IGN:1,,,,,,,,,,,,,,,,,,,,,
r,,WaermeErtragGesamt,,,,,01,,,energy,,kWh,,,,,,,,,,,,,,,,,,,
r,,EnergieVerbrauchGesamt,,,,,02,,,energy,,kWh,,,,,,,,,,,,,,,,,,,
*r,,,,,,B516,1A,,,IGN:1,,,,,,,,,,,,,,,,,,,,,
r,,UmweltErtragJahr1,,,,,010100,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr2,,,,,010200,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr3,,,,,010300,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr4,,,,,010400,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr5,,,,,010500,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr6,,,,,010600,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr7,,,,,010700,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr8,,,,,010800,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr9,,,,,010900,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr10,,,,,010A00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr11,,,,,010B00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,UmweltErtragJahr12,,,,,010C00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr1,,,,,020100,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr2,,,,,020200,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr3,,,,,020300,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr4,,,,,020400,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr5,,,,,020500,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr6,,,,,020600,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr7,,,,,020700,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr8,,,,,020800,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr9,,,,,020900,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr10,,,,,020A00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr11,,,,,020B00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergieVerbrauchJahr12,,,,,020C00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
*r,,,,,,B51A,05,,,IGN:3,,,,,,,,,,,,,,,,,,,,,
*w,,,,,,B51A,06,,,,,,,,,,,,,,,,,,,,,,,,
r,,WaermeErtragTag,,,,,FF3200,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,KuehlungsErtragTag,,,,,FF3201,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,WarmwasserErtragTag,,,,,FF3202,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,ch_3,,,,,FF3203,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_4,,,,,FF3204,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_5,,,,,FF3205,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_6,,,,,FF3206,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_7,,,,,FF3207,,,UIN,,,,,,,,,,,,,,,,,,,,,
r;w,,SollTemperaturWarmwasser,(with intergrated System thermostat),,,,C63207,,,D2C,,°C,SollTemperatur Warmwasser Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,WaermeErtragMonat,,,,,FF320E,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,COPWaermeMonat,,,,,FF320F,,,UIN,10, ,,,,,,,,,,,,,,,,,,,
r,,WaermeErtrag,,,,,FF3210,,,energy,,kWh,Summe Ertrag Waerme,,,,,,,,,,,,,,,,,,
r,,COPHeizung,,,,,FF3211,,,UIN,10, ,Summe Coefficient of Performance Waerme,,,,,,,,,,,,,,,,,,
r,,WarmwasserErtragMonat,,,,,FF3212,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,COPWarmwasserMonat,,,,,FF3213,,,UIN,10, ,,,,,,,,,,,,,,,,,,,
